Ticker,Year,Strategy,Market
QQQ,2015,19.9,5.0
QQQ,2016,1.6,7.1
QQQ,2017,14.7,32.7
QQQ,2018,-10.2,-0.1
QQQ,2019,23.0,39.0
QQQ,2020,16.1,48.4
QQQ,2021,18.0,27.4
QQQ,2022,6.7,-32.6
QQQ,2023,21.6,54.9
QQQ,2024,9.2,25.6
QQQ,2025,8.1,7.5
