Ticker,Year,Strategy,Market
EFA,2015,8.7,-6.7
EFA,2016,15.5,1.4
EFA,2017,12.0,25.1
EFA,2018,-9.2,-13.8
EFA,2019,12.3,22.0
EFA,2020,16.4,7.6
EFA,2021,15.4,11.4
EFA,2022,5.1,-14.4
EFA,2023,3.4,18.4
EFA,2024,-8.0,3.5
EFA,2025,1.7,20.2
