Ticker,Year,Strategy,Market
SPY,2015,14.7,0.1
SPY,2016,6.9,12.0
SPY,2017,5.8,21.7
SPY,2018,-6.5,-4.6
SPY,2019,21.8,31.2
SPY,2020,12.8,18.3
SPY,2021,17.5,28.7
SPY,2022,11.7,-18.2
SPY,2023,9.5,26.2
SPY,2024,6.5,24.9
SPY,2025,14.9,5.5
